0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,79
1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,80
1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,81
1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,82
1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,83
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,85
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,88
1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,89
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,92
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,93
0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,94
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,96
0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,97
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,99
1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,100
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,101
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,102
0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,103
1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,104
0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,105
0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,106
1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,107
0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,108
1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,109
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,112
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,113
1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,114
1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,115
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,116
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,119
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,120
0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,121
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122
1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,123
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,124
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,125
1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,127
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,129
0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,130
1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,131
1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,132
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,133
1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,134
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,135
1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,136
0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,137
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,139
0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,140
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,141
0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,142
1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,143
1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,144
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145
0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,146
1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,147
1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,148
1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,149
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,150
1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,151
1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,152
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,153
1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,154
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,155
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,156
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,157
0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,158
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,159
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,160
1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,161
1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,162
1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,163
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,164
1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,165
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,166
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,167
